Compound ID,Observed Value,ISIDA Predicted Value,CDK Predicted Value,Consensus Prediction,Error from Consensus,Avg of Observed,Error from Avg,Error from ISIDA,Error from CDK
91203,3.64,4.072,3.884,3.978,0.338,4.48,0.84,0.432,0.244
75525,2.74,4.608,,4.608,1.868,4.48,1.74,1.868,2.74
319846,5.71,4.341,4.978,4.6595,1.0505,4.48,1.23,1.369,0.732
193395,4.48,4.771,5.555,5.163,0.683,4.48,0,0.291,1.075
122667,4.61,4.409,4.673,4.541,0.069,4.48,0.13,0.201,0.063
103333,3.75,4.375,4.374,4.3745,0.6245,4.48,0.73,0.625,0.624
59536651,6.73,5.352,5.468,5.41,1.32,4.48,2.25,1.378,1.262
38380084,5.6,5.609,5.45,5.5295,0.0705,4.48,1.12,0.009,0.15
8001352,5.12,4.891,4.78,4.8355,0.2845,4.48,0.64,0.229,0.34
70257,5.55,5.839,5.538,5.6885,0.1385,4.48,1.07,0.289,0.012
1024573,6,5.319,5.315,5.317,0.683,4.48,1.52,0.681,0.685
143500,6.35,5.187,6.089,5.638,0.712,4.48,1.87,1.163,0.261
1116547,5.03,5.589,4.761,5.175,0.145,4.48,0.55,0.559,0.269
59892,5.34,5.587,4.385,4.986,0.354,4.48,0.86,0.247,0.955
1937377,6.21,5.733,5.74,5.7365,0.4735,4.48,1.73,0.477,0.47
