Compound ID,Observed Value,ISIDA Predicted Value,CDK Predicted Value,Consensus Prediction,Error from Consensus,Avg of Observed,Error from Avg,Error from ISIDA,Error from CDK
93765,7.4,7.285,7.062,7.1735,0.2265,7.29,0.11,0.115,0.338
55512339,6.54,7.263,6.925,7.094,0.554,7.29,0.75,0.723,0.385
107062,7.21,7.114,7.22,7.167,0.043,7.29,0.08,0.096,0.01
67209,6.53,7.44,6.785,7.1125,0.5825,7.29,0.76,0.91,0.255
63252,6.3,7.275,6.922,7.0985,0.7985,7.29,0.99,0.975,0.622
80079,8.55,7.657,7.253,7.455,1.095,7.29,1.26,0.893,1.297
144218,6.79,6.714,,6.714,0.076,7.29,0.5,0.076,6.79
1689845,7.14,7.364,7.276,7.32,0.18,7.29,0.15,0.224,0.136
616239,7.63,6.772,7.119,6.9455,0.6845,7.29,0.34,0.858,0.511
999815,6.5,7.1,6.952,7.026,0.526,7.29,0.79,0.6,0.452
24307264,6.7,6.92,6.862,6.891,0.191,7.29,0.59,0.22,0.162
96457,9.11,7.223,6.88,7.0515,2.0585,7.29,1.82,1.887,2.23
26225796,5.34,6.937,7.201,7.069,1.729,7.29,1.95,1.597,1.861
120116883,5.53,7.162,6.976,7.069,1.539,7.29,1.76,1.632,1.446
93721,7.52,7.305,7.128,7.2165,0.3035,7.29,0.23,0.215,0.392
91203,6.81,7.005,6.975,6.99,0.18,7.29,0.48,0.195,0.165
15299997,6.43,7.265,7.005,7.135,0.705,7.29,0.86,0.835,0.575
23950585,6.53,7.044,7.36,7.202,0.672,7.29,0.76,0.514,0.83
106376,7.37,7.544,7.205,7.3745,0.0045,7.29,0.08,0.174,0.165
7173515,6.56,7.232,7.042,7.137,0.577,7.29,0.73,0.672,0.482
506683,6.07,7.115,7.232,7.1735,1.1035,7.29,1.22,1.045,1.162
239110157,6.28,7.024,7.268,7.146,0.866,7.29,1.01,0.744,0.988
145733,7.06,6.6,6.763,6.6815,0.3785,7.29,0.23,0.46,0.297
361377299,7.48,7.114,7.229,7.1715,0.3085,7.29,0.19,0.366,0.251
163520330,6.95,7.057,7.271,7.164,0.214,7.29,0.34,0.107,0.321
108678,7.08,6.93,7.04,6.985,0.095,7.29,0.21,0.15,0.04
108907,6.75,7.233,7.123,7.178,0.428,7.29,0.54,0.483,0.373
161326347,7.04,7.131,7.12,7.1255,0.0855,7.29,0.25,0.091,0.08
756796,6.32,7.546,7.191,7.3685,1.0485,7.29,0.97,1.226,0.871
135590919,5.81,7.022,7.146,7.084,1.274,7.29,1.48,1.212,1.336
26399360,7.76,7.15,7.185,7.1675,0.5925,7.29,0.47,0.61,0.575
542756,6.56,7.255,6.98,7.1175,0.5575,7.29,0.73,0.695,0.42
78591,5.84,6.906,7.066,6.986,1.146,7.29,1.45,1.066,1.226
94125345,6.9,6.942,7.144,7.043,0.143,7.29,0.39,0.042,0.244
138261413,6.65,7.33,7.202,7.266,0.616,7.29,0.64,0.68,0.552
122836355,6.44,7.178,7.117,7.1475,0.7075,7.29,0.85,0.738,0.677
88671890,7.06,7.161,7.083,7.122,0.062,7.29,0.23,0.101,0.023
556887,6.02,7.589,6.597,7.093,1.073,7.29,1.27,1.569,0.577
74953,7.24,7.28,7.276,7.278,0.038,7.29,0.05,0.04,0.036
79572,9,6.999,7.226,7.1125,1.8875,7.29,1.71,2.001,1.774
131341861,6.92,7.244,7.114,7.179,0.259,7.29,0.37,0.324,0.194
122931480,5.72,6.922,6.369,6.6455,0.9255,7.29,1.57,1.202,0.649
55290647,7.02,7.004,7.263,7.1335,0.1135,7.29,0.27,0.016,0.243
121824,7.87,7.414,7.139,7.2765,0.5935,7.29,0.58,0.456,0.731
75274,6.91,7.206,,7.206,0.296,7.29,0.38,0.296,6.91
178928706,8.54,7.097,7.544,7.3205,1.2195,7.29,1.25,1.443,0.996
108861,7.29,7.083,7.149,7.116,0.174,7.29,0,0.207,0.141
94361065,7.46,7.105,7.111,7.108,0.352,7.29,0.17,0.355,0.349
43121433,6.99,6.804,7.297,7.0505,0.0605,7.29,0.3,0.186,0.307
76674210,7.48,7.184,7.094,7.139,0.341,7.29,0.19,0.296,0.386
5234684,6.37,7.148,7.164,7.156,0.786,7.29,0.92,0.778,0.794
107534963,7.02,6.994,7.251,7.1225,0.1025,7.29,0.27,0.026,0.231
108918,5.7,7.18,6.685,6.9325,1.2325,7.29,1.59,1.48,0.985
81777891,5.45,7.038,7.228,7.133,1.683,7.29,1.84,1.588,1.778
1918009,6.87,7.017,7.132,7.0745,0.2045,7.29,0.42,0.147,0.262
93652,8.33,7.216,7.021,7.1185,1.2115,7.29,1.04,1.114,1.309
91532,7.04,7.079,7.092,7.0855,0.0455,7.29,0.25,0.039,0.052
88062,8.29,7.401,7.362,7.3815,0.9085,7.29,1,0.889,0.928
709988,7.64,7.056,7.044,7.05,0.59,7.29,0.35,0.584,0.596
34256821,7.13,7.075,7.08,7.0775,0.0525,7.29,0.16,0.055,0.05
110861,7.9,6.954,7.206,7.08,0.82,7.29,0.61,0.946,0.694
149979419,6.83,7.169,6.856,7.0125,0.1825,7.29,0.46,0.339,0.026
23103982,8.12,6.962,7.323,7.1425,0.9775,7.29,0.83,1.158,0.797
64359815,7.15,7.077,7.153,7.115,0.035,7.29,0.14,0.073,0.003
79436,7.5,7.021,6.998,7.0095,0.4905,7.29,0.21,0.479,0.502
142459583,8.33,6.986,7.293,7.1395,1.1905,7.29,1.04,1.344,1.037
2675776,7.2,7.206,7.178,7.192,0.008,7.29,0.09,0.006,0.022
630206,6.74,6.914,7.374,7.144,0.404,7.29,0.55,0.174,0.634
124481,7.01,7.217,,7.217,0.207,7.29,0.28,0.207,7.01
165252700,7,7.159,7.072,7.1155,0.1155,7.29,0.29,0.159,0.072
35367385,7.19,7.144,7.062,7.103,0.087,7.29,0.1,0.046,0.128
188489078,6.01,6.98,7.218,7.099,1.089,7.29,1.28,0.97,1.208
19666309,7.84,7.112,7.231,7.1715,0.6685,7.29,0.55,0.728,0.609
55219653,7.94,7.519,7.395,7.457,0.483,7.29,0.65,0.421,0.545
21725462,8.08,7.276,7.153,7.2145,0.8655,7.29,0.79,0.804,0.927
33089611,8.07,7.337,7.09,7.2135,0.8565,7.29,0.78,0.733,0.98
81406373,5.56,6.914,7.185,7.0495,1.4895,7.29,1.73,1.354,1.625
90982,7.44,7.143,7.299,7.221,0.219,7.29,0.15,0.297,0.141
114369436,7.05,7.147,7.218,7.1825,0.1325,7.29,0.24,0.097,0.168
283594901,7.23,6.815,7.438,7.1265,0.1035,7.29,0.06,0.415,0.208
2593159,7.19,7.01,7.189,7.0995,0.0905,7.29,0.1,0.18,0.001
274671613,6.26,6.898,7.198,7.048,0.788,7.29,1.03,0.638,0.938
153719234,7.38,7.213,7.238,7.2255,0.1545,7.29,0.09,0.167,0.142
79016,8.42,7.186,7.194,7.19,1.23,7.29,1.13,1.234,1.226
112143825,9.2,7.178,7.159,7.1685,2.0315,7.29,1.91,2.022,2.041
